Postcode,Latitude,Longitude
G40 3LJ,55.84616695,-4.20548373
G40 3LJ,55.84560231,-4.2074006
G41 1HU,55.85284731,-4.27927807
G41 1HU,55.85211202,-4.27918708
G41 1NX,55.84529536,-4.27455476
G41 3PT,55.82603548,-4.28712936
G41 3RG,55.82837593,-4.28886352
G41 3UJ,55.83175289,-4.28609176
G41 3YA,55.83020751,-4.27977346
G41 3YT,55.8277314,-4.28389179
G42 0EH,55.82825677,-4.2342643
G42 7AF,55.84040194,-4.2596702
G42 8QD,55.83566856,-4.27121361
G42 9JT,55.82622542,-4.26521846
G42 9LQ,55.82809269,-4.25996205
G43 1RR,55.82599861,-4.29633986
G43 1RR,55.82651753,-4.29646625
G44 3DH,55.81462601,-4.26649157
G44 4JE,55.81912743,-4.23663022
G44 5JT,55.80979802,-4.24207977
G46 8NY,55.80715835,-4.31848202
G5 9AB,55.8483112,-4.25279657
G5 9RP,55.84341265,-4.26260836
G51 1AT,55.85224169,-4.29541158
G51 1HS,55.85418204,-4.27951603
G51 1RN,55.85075127,-4.30494165
G51 1SL,55.85201484,-4.29937653
G52 2AZ,55.8507751,-4.3572672
G52 3QN,55.84621697,-4.33614375
G52 3SS,55.84545222,-4.34232798
G53 7FY,55.82943782,-4.35963244
G53 7RN,55.80539673,-4.35066077
G60 5JG,55.92467863,-4.45936818
G61 2SY,55.91811142,-4.33174579
G62 6BT,55.9396282,-4.31838678
G63 0DP,56.06708781,-4.45180446
G63 0TS,56.06807572,-4.33605655
G63 9EG,55.9841815,-4.30580717
G64 1NF,55.89825517,-4.21562178
G64 1PJ,55.90419483,-4.22116003
G64 2AA,55.90350818,-4.22732802
G65 9JE,55.95666813,-4.03622303
G65 9JE,55.97792554,-4.06248839
G66 1DH,55.93920881,-4.16108327
G66 1JB,55.93938634,-4.15556881
G66 1NH,55.93736846,-4.15584097
G66 3BF,55.93457344,-4.15173105
G66 7JJ,55.97446915,-4.20197986
G67 1BP,55.9405035,-3.99708849
G67 2ES,55.9532988,-3.97098186
G67 3BE,55.95997692,-3.95172846
G67 4DN,55.9328742,-4.02676143
G69 7AD,55.84888986,-4.11649543
G69 9DW,55.90334667,-4.10789523
G71 5RR,55.82906422,-4.05825645
G71 7NE,55.817471,-4.07162696
G72 0BS,55.79046633,-4.09274763
G72 8AT,55.81928254,-4.17387102
G72 8HA,55.81988565,-4.17787959
G73 2LD,55.82606087,-4.21754941
G74 1AD,55.76250281,-4.17627233
G75 0RT,55.75269699,-4.18541518
G76 7BU,55.78539034,-4.27471375
G76 7BX,55.78746496,-4.27528133
G76 7HN,55.79332613,-4.28248303
G76 7NW,55.79396334,-4.28784874
G77 5BQ,55.77232134,-4.33039593
G77 5LU,55.77504284,-4.31384725
G77 6GR,55.78276179,-4.34709602
G78 1SW,55.80246717,-4.38701015
G78 3HJ,55.78388257,-4.42453521
G81 1BS,55.89906403,-4.40658748
G83 0UE,55.99345024,-4.58468344
G83 7AE,56.19417487,-4.74816295
G84 0JL,55.9848768,-4.82024161
G84 0SL,56.08385947,-4.83401775
G84 7QL,56.00432518,-4.73018615
HS1 2PS,58.21233859,-6.37333302
HS1 2XB,58.20879426,-6.38618665
HS2 9JP,58.1518306,-6.50265352
HS3 3BG,57.90210342,-6.81422775
HS5 3UA,57.76767266,-7.01595793
HS6 5AE,57.60501069,-7.16293883
HS7 5QA,57.44282768,-7.35848488
HS8 5SS,57.16511661,-7.37221638
HS9 5XD,56.95564762,-7.48776286
IV10 8SY,57.58199596,-4.13208603
IV11 8YF,57.68140216,-4.0368791
IV14 9AG,57.58595778,-4.54370826
IV15 9QS,57.59389019,-4.41802993
IV17 0UN,57.69505573,-4.24823467
IV19 1EU,57.80933444,-4.064608
IV2 3BG,57.47436707,-4.21781027
IV2 3NF,57.47842537,-4.21900713
IV2 4AG,57.47236031,-4.22359267
IV2 4TP,57.4649156,-4.21058432
IV2 4XA,57.47169359,-4.2196162
IV2 6YB,57.25399077,-4.49456239
IV2 7LL,57.48729736,-4.14349656
IV22 2EZ,57.54681491,-5.51304189
IV22 2HU,57.83584922,-5.57714606
IV24 3EP,57.88988014,-4.34354785
IV25 3LS,57.87825868,-4.02814901
IV26 2XL,57.90211013,-5.15754801
IV27 4DD,58.02355863,-4.39720036
IV27 4RP,58.45808345,-5.04349471
IV27 4XB,58.47762758,-4.41746271
IV3 8HH,57.48178233,-4.2375114
IV3 8PB,57.47339594,-4.25582872
IV30 6GQ,57.63617511,-3.29325284
IV31 6TU,57.71532751,-3.30539139
IV32 7EP,57.61241474,-3.09238437
IV36 1JG,57.60316982,-3.62194283
IV4 7EA,57.48267163,-4.45895474
IV4 7DJ,57.48449443,-4.46224742
IV40 8AE,57.28080246,-5.71504939
IV40 8JD,57.21361707,-5.61965408
IV47 8ST,57.29608936,-6.33852538
IV49 9AA,57.24662797,-5.90950997
IV51 9BZ,57.41130751,-6.19235212
IV54 8LS,57.42674199,-5.82062869
IV54 8YD,57.39880327,-5.49743355
IV55 8GU,57.42871307,-6.56678118
IV63 6UL,57.32861077,-4.47559615
IV8 8NG,57.5504255,-4.26099141
KA1 1RU,55.6057734,-4.50155441
KA1 2BD,55.60862754,-4.50395925
KA1 2DJ,55.60840909,-4.50453283
KA1 2DL,55.60786452,-4.5039106
KA10 6BQ,55.54419689,-4.66709534
KA10 6QR,55.54495458,-4.66532348
KA11 1JU,55.61925345,-4.63467498
KA12 0AY,55.61413151,-4.66412547
KA12 8TJ,55.63117027,-4.67503796
KA13 6EH,55.65381992,-4.70178163
KA13 6BL,55.65288475,-4.70057255
KA15 2AE,55.75176763,-4.63405956
KA17 0HD,55.61007114,-4.29043093
KA18 2AY,55.47054536,-4.29459202
KA18 4BA,55.39353188,-4.17988728
KA2 0LE,55.61190691,-4.5480774
KA2 9HF,55.57681086,-4.59371881
KA20 3AB,55.64080362,-4.75592222
KA22 7DX,55.65066549,-4.80621467
KA22 8BS,55.63980325,-4.8149891
KA24 4AF,55.70678439,-4.72322024
KA26 0NB,55.10121783,-5.00491584
KA26 9HQ,55.24831017,-4.84701567
KA26 9SH,55.27621776,-4.72642269
KA27 8NS,55.5259005,-5.13424165
KA27 8NS,55.52590305,-5.1348441
KA28 0DE,55.75364939,-4.92689255
KA3 5BP,55.68116484,-4.5131126
KA30 8LH,55.79800655,-4.86648612
KA5 6RU,55.50283665,-4.33135615
KA6 7AY,55.43435609,-4.46072244
KA6 7LX,55.36075122,-4.50090137
KA6 7QL,55.32298163,-4.39871853
KA7 1BJ,55.46387365,-4.6338374
KA7 1UL,55.46027898,-4.63212641
KA7 1UQ,55.45868375,-4.63023253
KA7 3PR,55.4431684,-4.60717246
KA8 8DD,55.47174117,-4.62662425
KA9 1AQ,55.50132049,-4.61290074
KA9 1AW,55.50229482,-4.60894284
KW1 5EL,58.4416292,-3.08838623
KW10 6TH,57.97449212,-3.97725824
KW14 7AR,58.59211506,-3.52218384
KW14 7DH,58.59155051,-3.52585833
KW14 7SA,58.55121772,-4.08564242
KW14 8TY,58.59199348,-3.38937549
KW15 1NZ,58.97370064,-2.96545037
KW16 3AD,58.96465898,-3.29706671
KW17 2HH,59.06727848,-3.23097892
KW17 2PU,59.13180628,-2.98737075
KW17 2SN,58.82519479,-2.96105717
KW6 6EZ,58.24661538,-3.43935113
KW9 6QJ,58.01241829,-3.85285248
KY1 1ER,56.11141083,-3.16204273
KY1 2PG,56.11961336,-3.14773369
KY10 2LG,56.21406706,-2.72961883
KY11 1NU,56.02964309,-3.39693879
KY11 2ZL,56.04547308,-3.43165807
KY11 3ED,56.03587723,-3.50038308
KY11 4JW,56.06720751,-3.45104896
KY11 4LT,56.06564321,-3.41709817
KY11 4TF,56.06615374,-3.45202132
KY12 0AE,56.07520854,-3.44919678
KY12 0BL,56.08244112,-3.43310955
KY12 8SJ,56.06173465,-3.5966146
KY12 9QH,56.08543649,-3.5673974
KY13 8FP,56.21507349,-3.42559116
KY14 6DA,56.3508952,-3.24020928
KY15 4JN,56.32325663,-3.01639512
KY15 7JS,56.2744374,-3.1239932
KY16 0DZ,56.37569084,-2.93305961
KY16 8AR,56.32750198,-2.80566741
KY2 5RB,56.11782974,-3.17402558
KY4 0AE,56.13422592,-3.38096974
KY4 8DF,56.08792363,-3.37291553
KY4 9DH,56.11084627,-3.35168444
KY5 8DA,56.15614114,-3.32184758
KY5 9QZ,56.12888586,-3.31198306
KY6 1HL,56.19555141,-3.19465868
KY7 4RH,56.18269112,-3.1628913
KY7 6SX,56.20795908,-3.168412
KY8 1HU,56.17643892,-3.02789428
KY8 1HJ,56.17597391,-3.03944718
KY8 3RS,56.18707737,-3.00159343
KY8 5JZ,56.20945326,-3.04673729
ML1 1TA,55.78583352,-3.98466743
ML1 2PJ,55.78215817,-3.98074883
ML1 4LT,55.81535427,-3.97750353
ML1 4TH,55.82189446,-3.97485022
ML1 5AG,55.80927211,-3.95094344
ML1 5JU,55.81356783,-3.94413599
ML10 6AS,55.67791573,-4.0637484
ML11 0DB,55.64078258,-3.88670472
ML11 0PX,55.55570905,-3.84734716
ML11 7DH,55.67432433,-3.77200527
ML11 8AJ,55.76509918,-3.68574445
ML11 8HJ,55.6985456,-3.62575284
ML11 9SB,55.66755524,-3.91682071
ML2 7LP,55.77497994,-3.92059335
ML2 9AX,55.78319317,-3.87878448
ML3 0NQ,55.78140922,-4.0682132
ML3 7EN,55.77316693,-4.03164754
ML3 7JY,55.76898691,-4.03767936
ML3 7QQ,55.76226333,-4.04370433
ML3 8AA,55.76128295,-4.04806815
ML3 9AQ,55.77887377,-4.05757022
ML4 1PS,55.81889661,-4.01230583
ML4 1QD,55.81878984,-4.01059233
ML5 2RY,55.89639443,-4.05721505
ML5 3BJ,55.86169215,-4.0243783
ML5 4BY,55.85393814,-4.02972667
ML6 6DB,55.86588992,-3.97847339
ML6 8SR,55.84543245,-3.94828255
ML7 4AR,55.8202361,-3.80624861
ML7 5QE,55.85948011,-3.75220935
ML8 4BA,55.73519312,-3.83670549
ML9 1EX,55.73683018,-3.97278084
ML9 1RJ,55.73478501,-3.97645258
ML9 2BJ,55.73982375,-3.97272484
PA1 1SU,55.84062385,-4.4181163
PA1 1SU,55.84038148,-4.41810124
PA1 1UB,55.8414843,-4.42189154
PA1 3QS,55.84718,-4.41516867
PA1 3QS,55.84727228,-4.41504659
PA12 4AH,55.79410259,-4.63074374
PA13 4AP,55.89293679,-4.62580314
PA13 4LE,55.8933761,-4.62796025
PA14 5EW,55.93445017,-4.68597016
PA14 5UD,55.92455991,-4.66376978
PA15 4DG,55.94634714,-4.76931913
PA15 4NH,55.94399165,-4.76053363
PA17 5AR,55.86786936,-4.88533443
PA2 6LR,55.8379026,-4.42348956
PA2 8DX,55.82347949,-4.43201223
PA21 2BE,55.90005517,-5.24146861
PA23 8BG,55.95037884,-4.92651003
PA23 8SE,56.00025388,-4.95198556
PA24 8AQ,56.17087848,-4.90062484
PA28 6AT,55.42211207,-5.60553558
PA27 8BX,56.17499486,-5.08214466
PA28 6QG,55.58638007,-5.49429341
PA29 6TY,55.86356604,-5.41799411
PA29 6XD,55.60090829,-5.68427522
PA3 1NT,55.850019,-4.45337003
PA3 2DY,55.85028141,-4.42609768
PA3 3DB,55.84804211,-4.48912822
PA3 3DB,55.84811069,-4.48929237
PA3 4AD,55.84861875,-4.42016268
PA32 8XN,56.15492784,-5.1839274
PA34 4TL,56.30335726,-5.59442486
PA37 1PH,56.4543212,-5.3879736
PA38 4DE,56.55492194,-5.40566016
PA4 8RU,55.88051079,-4.38455674
