PracticeCode,Sex,Attribute,Value
10708,Female,Ages 0 to 4,37
10708,Female,Ages 5 to 14,115
10708,Female,Ages 15 to 24,100
10708,Female,Ages 25 to 44,210
10708,Female,Ages 45 to 64,407
10708,Female,Ages 65 to 74,226
10708,Female,Ages 75 to 84,194
10708,Female,Ages 85 plus,110
10746,Male,Ages 0 to 4,117
10746,Male,Ages 5 to 14,283
10746,Male,Ages 15 to 24,291
10746,Male,Ages 25 to 44,705
10746,Male,Ages 45 to 64,873
10746,Male,Ages 65 to 74,424
10746,Male,Ages 75 to 84,252
10746,Male,Ages 85 plus,86
10746,Female,Ages 0 to 4,114
10746,Female,Ages 5 to 14,300
10746,Female,Ages 15 to 24,284
10746,Female,Ages 25 to 44,692
10746,Female,Ages 45 to 64,870
10746,Female,Ages 65 to 74,412
10746,Female,Ages 75 to 84,277
10746,Female,Ages 85 plus,94
10835,Male,Ages 0 to 4,63
10835,Male,Ages 5 to 14,242
10835,Male,Ages 15 to 24,207
10835,Male,Ages 25 to 44,521
10835,Male,Ages 45 to 64,556
10835,Male,Ages 65 to 74,232
10835,Male,Ages 75 to 84,181
10835,Male,Ages 85 plus,54
10835,Female,Ages 0 to 4,87
10835,Female,Ages 5 to 14,233
10835,Female,Ages 15 to 24,194
10835,Female,Ages 25 to 44,468
10835,Female,Ages 45 to 64,623
10835,Female,Ages 65 to 74,264
10835,Female,Ages 75 to 84,199
10835,Female,Ages 85 plus,98
11005,Male,Ages 0 to 4,96
11005,Male,Ages 5 to 14,279
11005,Male,Ages 15 to 24,258
11005,Male,Ages 25 to 44,791
11005,Male,Ages 45 to 64,700
11005,Male,Ages 65 to 74,256
11005,Male,Ages 75 to 84,131
11005,Male,Ages 85 plus,40
11005,Female,Ages 0 to 4,76
11005,Female,Ages 5 to 14,281
11005,Female,Ages 15 to 24,240
11005,Female,Ages 25 to 44,711
11005,Female,Ages 45 to 64,582
11005,Female,Ages 65 to 74,236
11005,Female,Ages 75 to 84,130
11005,Female,Ages 85 plus,66
11058,Male,Ages 0 to 4,101
11058,Male,Ages 5 to 14,285
11058,Male,Ages 15 to 24,1030
11058,Male,Ages 25 to 44,1920
11058,Male,Ages 45 to 64,849
11058,Male,Ages 65 to 74,314
11058,Male,Ages 75 to 84,191
11058,Male,Ages 85 plus,42
11058,Female,Ages 0 to 4,89
11058,Female,Ages 5 to 14,243
11058,Female,Ages 15 to 24,1391
11058,Female,Ages 25 to 44,1804
11058,Female,Ages 45 to 64,729
11058,Female,Ages 65 to 74,303
11058,Female,Ages 75 to 84,223
11058,Female,Ages 85 plus,74
11096,Male,Ages 0 to 4,128
11096,Male,Ages 5 to 14,293
11096,Male,Ages 15 to 24,256
11096,Male,Ages 25 to 44,721
11096,Male,Ages 45 to 64,694
11096,Male,Ages 65 to 74,290
11096,Male,Ages 75 to 84,127
11096,Male,Ages 85 plus,54
11096,Female,Ages 0 to 4,108
11096,Female,Ages 5 to 14,283
11096,Female,Ages 15 to 24,290
11096,Female,Ages 25 to 44,744
11096,Female,Ages 45 to 64,613
11096,Female,Ages 65 to 74,266
11096,Female,Ages 75 to 84,162
11096,Female,Ages 85 plus,86
11128,Male,Ages 0 to 4,205
11128,Male,Ages 5 to 14,546
11128,Male,Ages 15 to 24,551
11128,Male,Ages 25 to 44,1328
11128,Male,Ages 45 to 64,1243
11128,Male,Ages 65 to 74,391
11128,Male,Ages 75 to 84,263
11128,Male,Ages 85 plus,65
11128,Female,Ages 0 to 4,207
11128,Female,Ages 5 to 14,501
11128,Female,Ages 15 to 24,501
11128,Female,Ages 25 to 44,1336
11128,Female,Ages 45 to 64,1253
11128,Female,Ages 65 to 74,476
11128,Female,Ages 75 to 84,328
11128,Female,Ages 85 plus,142
11166,Male,Ages 0 to 4,216
11166,Male,Ages 5 to 14,478
11166,Male,Ages 15 to 24,481
11166,Male,Ages 25 to 44,1444
11166,Male,Ages 45 to 64,1238
11166,Male,Ages 65 to 74,464
11166,Male,Ages 75 to 84,244
11166,Male,Ages 85 plus,60
11166,Female,Ages 0 to 4,228
11166,Female,Ages 5 to 14,485
11166,Female,Ages 15 to 24,510
11166,Female,Ages 25 to 44,1369
11166,Female,Ages 45 to 64,1159
11166,Female,Ages 65 to 74,493
11166,Female,Ages 75 to 84,311
11166,Female,Ages 85 plus,117
11171,Male,Ages 0 to 4,289
11171,Male,Ages 5 to 14,682
11171,Male,Ages 15 to 24,671
11171,Male,Ages 25 to 44,1913
11171,Male,Ages 45 to 64,1527
11171,Male,Ages 65 to 74,603
11171,Male,Ages 75 to 84,368
11171,Male,Ages 85 plus,118
11171,Female,Ages 0 to 4,289
11171,Female,Ages 5 to 14,662
11171,Female,Ages 15 to 24,694
11171,Female,Ages 25 to 44,1904
11171,Female,Ages 45 to 64,1664
11171,Female,Ages 65 to 74,641
11171,Female,Ages 75 to 84,473
11171,Female,Ages 85 plus,239
11221,Male,Ages 0 to 4,245
11221,Male,Ages 5 to 14,449
11221,Male,Ages 15 to 24,268
11221,Male,Ages 25 to 44,874
11221,Male,Ages 45 to 64,475
11221,Male,Ages 65 to 74,130
11221,Male,Ages 75 to 84,80
11221,Male,Ages 85 plus,14
11221,Female,Ages 0 to 4,236
11221,Female,Ages 5 to 14,390
11221,Female,Ages 15 to 24,332
11221,Female,Ages 25 to 44,1025
11221,Female,Ages 45 to 64,470
11221,Female,Ages 65 to 74,160
11221,Female,Ages 75 to 84,89
11221,Female,Ages 85 plus,47
11289,Male,Ages 0 to 4,201
11289,Male,Ages 5 to 14,450
11289,Male,Ages 15 to 24,547
11289,Male,Ages 25 to 44,1576
11289,Male,Ages 45 to 64,1136
11289,Male,Ages 65 to 74,425
11289,Male,Ages 75 to 84,204
11289,Male,Ages 85 plus,65
11289,Female,Ages 0 to 4,218
11289,Female,Ages 5 to 14,413
11289,Female,Ages 15 to 24,564
11289,Female,Ages 25 to 44,1445
11289,Female,Ages 45 to 64,1035
11289,Female,Ages 65 to 74,456
